id,f_1_odd,f_2_odd,fight_round,event_city,event_state,f_1_gender,f_2_gender,f_1_weight_class,f_2_weight_class,f_1_fighter_stance,f_2_fighter_stance,f_1_prev_result,f_2_prev_result,age_diff,height_diff,weight_diff,win_ratio_diff,prev_win_streak_continuous_diff,prev_loss_streak_continuous_diff,avg_total_strike_succ_ratio_diff,avg_sig_strikes_succ_ratio_diff,avg_submission_ratio_diff,avg_reversal_ratio_diff,avg_head_strikes_succ_ratio_diff,avg_body_strikes_succ_ratio_diff,avg_leg_strikes_succ_ratio_diff,avg_distance_strikes_succ_ratio_diff,avg_clinch_strikes_succ_ratio_diff,avg_ground_strikes_succ_ratio_diff,label
597,,,5,Newcastle,England,M,M,Lightweight,Lightweight,Orthodox,Orthodox,Submission,Decision,3.5100000000000016,5.079999999999984,10.0,-0.13333333333333341,-3,-4,0.06184027499861766,0.012280311721315607,-1.2666666666666666,-0.4,0.02612113482384848,0.3867949334616002,-0.07499999999999996,-0.048034853081336315,0.11159650333563376,0.308514515516574,1
598,,,3,Las Vegas,Nevada,M,M,Lightweight,Lightweight,Orthodox,Orthodox,Decision,,-0.08000000000000185,-5.079999999999984,0.0,0.6666666666666666,2,0,0.6729488256434364,0.5696585740445389,1.3333333333333333,0.6666666666666666,0.5512398507790213,0.6111111111111112,1.0,0.275,0.5578947368421052,0.7236024844720497,1
599,,,3,Las Vegas,Nevada,M,M,Lightweight,Lightweight,Orthodox,Orthodox,,KO/TKO,-0.8900000000000006,22.859999999999985,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
600,,,3,Las Vegas,Nevada,M,M,Lightweight,Lightweight,Orthodox,Orthodox,Decision,Decision,-2.080000000000002,-10.159999999999997,0.0,-0.5,-1,-2,0.01815263984381632,-0.028472222222222232,-5.0,0.0,-0.0658410432805151,-0.11111111111111105,0.75,0.09273399530752471,-0.25,-0.17783938172043,1
601,,,3,Las Vegas,Nevada,M,M,Lightweight,Lightweight,Orthodox,Orthodox,KO/TKO,KO/TKO,-0.3200000000000003,7.6200000000000045,10.0,0.5,0,-1,0.0798850574712644,0.20454545454545459,0.0,0.0,0.538135593220339,-0.75,-0.4,0.4814814814814815,-0.2222222222222222,0.1333333333333333,1
602,,,3,Las Vegas,Nevada,M,M,Lightweight,Lightweight,Orthodox,Orthodox,Decision,KO/TKO,-2.8200000000000003,7.6200000000000045,0.0,0.5,0,1,-0.21220293259766942,-0.17776608734055538,-2.25,-1.5,0.43504815597838853,-0.23030303030303034,0.0,-0.502370791844476,0.3181818181818182,0.7086367880485528,1
603,,,3,Las Vegas,Nevada,M,M,Lightweight,Lightweight,Southpaw,Southpaw,Submission,Decision,-2.75,7.6200000000000045,15.0,0.5,1,-1,0.2603174603174604,0.1849941724941725,1.5,-0.5,0.2557142857142857,-1.0,0.5,0.30606060606060603,0.4,-0.29365079365079366,1
604,,,3,Las Vegas,Nevada,M,M,Lightweight,Lightweight,Orthodox,Orthodox,Decision,Decision,-8.899999999999999,2.5400000000000205,0.0,0.6666666666666666,0,1,0.1071670247046187,0.03331679894179895,1.6666666666666665,0.0,-0.04889511360099591,0.9444444444444444,-0.6666666666666667,0.088023088023088,-0.10599078341013823,0.3539215686274509,1
605,,,3,Las Vegas,Nevada,M,M,Middleweight,Middleweight,Orthodox,Southpaw,KO/TKO,KO/TKO,-1.5899999999999999,-2.539999999999992,-15.0,-0.3333333333333333,1,-1,-0.03155501391449311,-0.08174681736559047,0.16666666666666666,0.16666666666666666,-0.11138889541058922,0.22619047619047616,0.2055555555555556,-0.04081494316821366,0.24303160919540234,-0.25714285714285723,1
606,,,3,Las Vegas,Nevada,M,M,Welterweight,Welterweight,Orthodox,Orthodox,Decision,Decision,0.8100000000000023,7.619999999999976,0.0,0.11904761904761907,-1,0,-0.06544040349447733,-0.06110692360834241,-0.23809523809523808,0.023809523809523808,-0.036400525304537634,0.0016025641025640969,-0.11240079365079358,-0.0001413537571212098,0.1975809622094452,0.0888888888888889,1
